Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Margin,Operating Profit,Sales Method
Walmart,H&M,4632573,21/4/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,32.28%,16.41,Online
West Gear,H&M,3044549,22/4/2020,South,Louisiana,New Orleans,THOMPSON woven sport pants,50.83,2,101.66,40.41%,41.08,In-store
West Gear,H&M,1852958,23/4/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,26.86%,13.65,Outlet
Foot Locker,H&M,3967899,24/4/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,50.83,2,101.66,44.22%,44.95,Outlet
Foot Locker,H&M,2322407,25/4/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,48.44,1,48.44,36.71%,17.78,Outlet
Foot Locker,H&M,1478839,26/4/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,50.83,2,101.66,33.31%,33.87,In-store
Foot Locker,H&M,1174140,27/4/2020,West,California,Los Angeles,THOMPSON woven sport pants,50.83,1,50.83,34.14%,17.35,Outlet
Walmart,H&M,2024555,28/4/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,2,101.66,33.37%,33.93,In-store
West Gear,H&M,4432615,29/4/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,43.95%,22.34,Online
West Gear,H&M,5566486,30/4/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,2,101.66,44.87%,45.62,Outlet
Sports Direct,H&M,9816214,1/5/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,2,101.66,41.69%,42.38,Online
Sports Direct,H&M,6011238,2/5/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,42.11%,21.41,In-store
Foot Locker,H&M,4361568,3/5/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,31.28%,15.9,Outlet
West Gear,H&M,6716003,4/5/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,30.73%,15.62,Online
Sports Direct,H&M,8567373,5/5/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,2,101.66,38.48%,39.12,Outlet
Sports Direct,H&M,5029988,6/5/2020,Northeast,New York,New York City,THOMPSON woven sport pants,50.83,1,50.83,49.81%,25.32,Online
Walmart,H&M,2633171,7/5/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.36,2,100.71,38.85%,39.13,Online
Foot Locker,H&M,9508162,18/7/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,45.75,3,137.24,48.55%,66.63,In-store
West Gear,H&M,5967126,19/7/2020,South,Texas,Houston,THOMPSON woven sport pants,50.83,1,50.83,25.78%,13.11,Outlet
Sports Direct,H&M,9196528,20/7/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,2,101.66,30.50%,31,Outlet
Sports Direct,H&M,2520523,21/7/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,37.22%,18.92,Online
West Gear,H&M,9159017,22/7/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,48.66,1,48.66,28.79%,14.01,Online
Walmart,H&M,2441509,23/7/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,1,50.83,26.24%,13.34,Online
Walmart,H&M,4415823,24/7/2020,South,Texas,Houston,THOMPSON woven sport pants,45.75,1,45.75,40.66%,18.6,Online
West Gear,H&M,8199752,25/7/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,38.14,1,38.14,29.71%,11.33,Online
Walmart,H&M,5098030,26/7/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,40.66,1,40.66,29.60%,12.04,Outlet
Foot Locker,H&M,4672620,27/7/2020,South,Texas,Houston,THOMPSON woven sport pants,45.75,1,45.75,29.04%,13.29,Outlet
Walmart,H&M,6692190,28/7/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,1,50.83,28.59%,14.53,Online
Foot Locker,H&M,2521297,29/7/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,41.51%,21.1,Online
Foot Locker,H&M,2551286,30/7/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,50.83,1,50.83,27.99%,14.23,Outlet
Walmart,H&M,7862571,31/7/2020,South,Louisiana,New Orleans,THOMPSON woven sport pants,20.59,1,20.59,39.49%,8.13,Outlet
West Gear,H&M,7877958,1/8/2020,South,Texas,Houston,THOMPSON woven sport pants,49.53,1,49.53,26.08%,12.91,Online
Sports Direct,H&M,6550214,2/8/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,50.83,1,50.83,47.76%,24.28,Online
West Gear,H&M,5375181,3/8/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,50.83,1,50.83,25.72%,13.08,In-store
Sports Direct,H&M,9919578,4/8/2020,West,Washington,Seattle,THOMPSON woven sport pants,20.32,1,20.32,30.61%,6.22,In-store
Foot Locker,H&M,9932146,5/8/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,50.83,1,50.83,30.48%,15.49,Online
Sports Direct,H&M,4131573,6/8/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,1,50.83,26.74%,13.59,Online
West Gear,H&M,7470319,7/8/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,43.18%,21.95,Outlet
Walmart,H&M,8336425,8/8/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,49.97%,25.4,Outlet
Foot Locker,H&M,9460514,9/8/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,50.83,1,50.83,25.36%,12.89,Outlet
Walmart,H&M,5665917,10/8/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,44.60%,22.67,In-store
Foot Locker,H&M,3259024,11/8/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,33.56%,17.06,Outlet
Sports Direct,H&M,9133184,12/8/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,1,50.83,43.72%,22.22,Online
Foot Locker,H&M,3005353,13/8/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,45.75,1,45.75,47.17%,21.58,Online
Foot Locker,H&M,6572944,14/8/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,37.26%,18.94,In-store
Walmart,H&M,8519293,15/8/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,50.83,1,50.83,32.84%,16.69,Outlet
Sports Direct,H&M,6714985,16/8/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,1,50.83,48.97%,24.89,Online
Sports Direct,H&M,6920968,17/8/2020,Northeast,New York,New York City,THOMPSON woven sport pants,50.83,1,50.83,32.15%,16.34,Outlet
Sports Direct,H&M,9346659,18/8/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,49.18%,25,Outlet
Walmart,H&M,4134822,19/8/2020,South,Texas,Houston,THOMPSON woven sport pants,45.75,1,45.75,45.41%,20.77,In-store
Foot Locker,H&M,8814539,20/8/2020,South,Texas,Houston,THOMPSON woven sport pants,50.83,1,50.83,32.38%,16.46,Online
Walmart,H&M,7142382,21/8/2020,Northeast,Massachusetts,Boston,THOMPSON woven sport pants,50.83,1,50.83,45.39%,23.07,In-store
Foot Locker,H&M,6651517,22/8/2020,South,Texas,Houston,THOMPSON woven sport pants,50.83,1,50.83,27.11%,13.78,Online
West Gear,H&M,3485859,23/8/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,35.52%,18.06,Outlet
Walmart,H&M,4625425,24/8/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,35.16%,17.87,Online
West Gear,H&M,1314988,25/8/2020,West,Washington,Seattle,THOMPSON woven sport pants,49.83,1,49.83,47.26%,23.55,Online
Foot Locker,H&M,5441562,26/8/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,40.66,1,40.66,30.88%,12.56,In-store
Sports Direct,H&M,9911039,27/8/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,2,101.66,39.12%,39.77,In-store
Sports Direct,H&M,6601844,28/8/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,48.58,1,48.58,37.00%,17.98,In-store
Walmart,H&M,6084678,29/8/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,1,50.83,45.10%,22.92,Outlet
Walmart,H&M,5761182,30/8/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,45.75,1,45.75,26.19%,11.98,In-store
Walmart,H&M,7138081,31/8/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,45.75,2,91.49,36.17%,33.09,Online
Walmart,H&M,8379876,1/9/2020,West,California,Los Angeles,THOMPSON woven sport pants,45.75,1,45.75,48.75%,22.3,Online
Walmart,H&M,4977426,2/9/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,1,50.83,26.11%,13.27,Outlet
Sports Direct,H&M,3026219,3/9/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,50.83,1,50.83,31.26%,15.89,In-store
West Gear,H&M,4073945,4/9/2020,South,Louisiana,New Orleans,THOMPSON woven sport pants,50.83,1,50.83,36.18%,18.39,Outlet
West Gear,H&M,3200003,5/9/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,49.27,1,49.27,37.47%,18.46,Online
Sports Direct,H&M,3400980,6/9/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,47.03%,23.91,Online
Sports Direct,H&M,5128551,7/9/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.08,1,50.08,48.28%,24.18,Outlet
West Gear,H&M,7158503,8/9/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,1,50.83,42.60%,21.66,Outlet
Foot Locker,H&M,6119499,9/9/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,36.59,1,36.59,35.99%,13.17,Online
Foot Locker,H&M,9733506,10/9/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,40.66,3,121.98,30.60%,37.32,In-store
Foot Locker,H&M,8610900,11/9/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,43.34%,22.03,Outlet
Sports Direct,H&M,7168593,12/9/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.23,2,100.46,41.71%,41.9,In-store
Sports Direct,H&M,3474408,13/9/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,50.83,2,101.66,34.61%,35.18,In-store
Sports Direct,H&M,8162416,14/9/2020,Northeast,Massachusetts,Boston,THOMPSON woven sport pants,45.75,1,45.75,37.36%,17.09,Outlet
Sports Direct,H&M,3394649,15/9/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,50.83,2,101.66,31.60%,32.12,Online
Sports Direct,H&M,2455879,16/9/2020,West,Washington,Seattle,THOMPSON woven sport pants,38.12,2,76.24,45.94%,35.02,Online
West Gear,H&M,5887205,20/10/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,2,101.66,38.71%,39.36,In-store
Sports Direct,H&M,5205243,21/10/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,25.41,1,25.41,26.43%,6.71,Online
Foot Locker,H&M,5824844,22/10/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,25.24%,12.83,Outlet
Sports Direct,H&M,5611472,23/10/2020,Northeast,Massachusetts,Boston,THOMPSON woven sport pants,50.83,1,50.83,41.72%,21.21,Outlet
Foot Locker,H&M,1498468,24/10/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,46.73,1,46.73,36.27%,16.95,Outlet
Sports Direct,H&M,2999741,25/10/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,1,50.83,38.06%,19.34,Outlet
Walmart,H&M,6275733,26/10/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,47.36,3,142.07,35.81%,50.87,Online
Walmart,H&M,2945699,27/10/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,46.69,3,140.08,26.40%,36.99,In-store
West Gear,H&M,4342596,28/10/2020,South,Texas,Houston,THOMPSON woven sport pants,45.75,2,91.49,46.89%,42.9,Outlet
Foot Locker,H&M,5654093,29/10/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,2,101.66,37.99%,38.62,Online
West Gear,H&M,7338949,30/10/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,48.29,2,96.58,25.84%,24.95,Outlet
Foot Locker,H&M,2266877,31/10/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,2,101.66,37.35%,37.98,Online
Foot Locker,H&M,7873333,1/11/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,2,101.66,35.58%,36.17,Online
Foot Locker,H&M,9892496,2/11/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,47.37,1,47.37,46.44%,22,Online
West Gear,H&M,6915316,3/11/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,45.75,1,45.75,26.58%,12.16,Online
Sports Direct,H&M,9711637,4/11/2020,South,Louisiana,New Orleans,THOMPSON woven sport pants,50.83,1,50.83,38.41%,19.52,In-store
Walmart,H&M,1835606,5/11/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,45.75,2,91.49,41.92%,38.35,In-store
West Gear,H&M,3033902,6/11/2020,Northeast,New York,New York City,THOMPSON woven sport pants,48.03,2,96.05,49.76%,47.79,Outlet
Walmart,H&M,1456777,7/11/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,42.75,1,42.75,30.62%,13.09,Online
Foot Locker,H&M,7301535,8/11/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,48.36,2,96.71,42.96%,41.55,Outlet
West Gear,H&M,5596850,9/11/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,25.41,1,25.41,49.25%,12.51,In-store
Sports Direct,H&M,7419215,10/11/2020,South,Texas,Houston,THOMPSON woven sport pants,50.83,1,50.83,37.56%,19.09,In-store
Foot Locker,H&M,5849121,11/11/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,37.12%,18.87,Outlet
Walmart,H&M,6125465,12/11/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,2,101.66,35.71%,36.3,Online
Sports Direct,H&M,4604663,13/11/2020,South,Louisiana,New Orleans,THOMPSON woven sport pants,44.05,1,44.05,28.03%,12.35,Online
West Gear,H&M,2731546,14/11/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,50.83,1,50.83,39.24%,19.94,In-store
Foot Locker,H&M,6682029,15/11/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,2,101.66,26.86%,27.31,In-store
Sports Direct,H&M,8308499,22/12/2020,Northeast,Massachusetts,Boston,THOMPSON woven sport pants,40.66,2,81.32,45.68%,37.15,Online
Foot Locker,H&M,7791099,23/12/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,4,203.32,34.22%,69.58,Online
Foot Locker,H&M,3198591,24/12/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,1,50.83,42.03%,21.36,In-store
Sports Direct,H&M,2545714,25/12/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,50.83,1,50.83,25.33%,12.88,Outlet
Foot Locker,H&M,1577337,26/12/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,1,50.83,44.84%,22.79,In-store
Sports Direct,H&M,5983080,27/12/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,50.83,1,50.83,41.27%,20.98,Outlet
West Gear,H&M,4870356,28/12/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,1,50.83,47.88%,24.34,Online
Sports Direct,H&M,4740340,29/12/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,1,50.83,39.19%,19.92,In-store
West Gear,H&M,5456679,30/12/2020,West,Washington,Seattle,THOMPSON woven sport pants,40.66,1,40.66,34.11%,13.87,Outlet
Foot Locker,H&M,6136239,31/12/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,1,50.83,30.73%,15.62,Online
West Gear,H&M,9212185,1/1/2021,West,California,Los Angeles,THOMPSON woven sport pants,50.83,1,50.83,47.02%,23.9,Online
West Gear,H&M,8426291,2/1/2021,South,Louisiana,New Orleans,THOMPSON woven sport pants,49.61,1,49.61,43.25%,21.45,Online
Sports Direct,H&M,7180730,3/1/2021,South,Texas,Houston,THOMPSON woven sport pants,50.83,1,50.83,29.37%,14.93,In-store
West Gear,H&M,1755682,4/1/2021,Southeast,Florida,Miami,THOMPSON woven sport pants,14.9,1,14.9,44.76%,6.67,In-store
Foot Locker,H&M,3682743,5/1/2021,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,40.93,1,40.93,39.80%,16.29,In-store
Sports Direct,H&M,6768404,6/1/2021,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,50.83,1,50.83,34.91%,17.74,In-store
Sports Direct,H&M,6601293,7/1/2021,West,California,Los Angeles,THOMPSON woven sport pants,50.83,2,101.66,42.02%,42.72,In-store
Walmart,H&M,9764267,8/1/2021,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,14.9,1,14.9,38.54%,5.74,Online
Sports Direct,H&M,9540024,9/1/2021,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,1,50.83,37.75%,19.19,Online
Foot Locker,H&M,6820442,10/1/2021,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,14.9,1,14.9,30.71%,4.57,In-store
Foot Locker,H&M,6442446,11/1/2021,Northeast,New York,New York City,THOMPSON woven sport pants,38.12,1,38.12,27.48%,10.48,Online
West Gear,H&M,8957314,12/1/2021,South,Georgia,Atlanta,THOMPSON woven sport pants,19.97,1,19.97,47.02%,9.39,Outlet
Sports Direct,H&M,6129866,13/1/2021,South,Texas,Houston,THOMPSON woven sport pants,50.83,4,203.32,49.90%,101.47,In-store
Sports Direct,H&M,9401017,14/1/2021,South,Louisiana,New Orleans,THOMPSON woven sport pants,50.83,1,50.83,38.83%,19.74,Outlet
Foot Locker,H&M,9617588,15/1/2021,West,California,Los Angeles,THOMPSON woven sport pants,50.83,3,152.49,30.89%,47.1,Outlet
West Gear,H&M,6817338,16/1/2021,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,36.71%,18.66,Online
Foot Locker,H&M,2521010,17/1/2021,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,47.02,2,94.03,38.06%,35.79,In-store
Sports Direct,H&M,6095011,18/1/2021,West,Nevada,Las Vegas,THOMPSON woven sport pants,44.47,1,44.47,46.28%,20.58,Online
Walmart,H&M,1721345,19/1/2021,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,50.83,1,50.83,42.06%,21.38,In-store
Sports Direct,H&M,1343000,20/1/2021,West,Washington,Seattle,THOMPSON woven sport pants,45.75,1,45.75,41.41%,18.94,Online
Foot Locker,H&M,2954374,21/1/2021,Midwest,Illinois,Chicago,THOMPSON woven sport pants,40.66,1,40.66,36.94%,15.02,Online
Walmart,H&M,8195768,22/1/2021,West,California,Los Angeles,THOMPSON woven sport pants,45.75,1,45.75,45.74%,20.92,Outlet
Foot Locker,H&M,2999149,23/1/2021,Midwest,Illinois,Chicago,THOMPSON woven sport pants,45.75,1,45.75,47.62%,21.79,Outlet
Sports Direct,H&M,9703834,24/1/2021,Midwest,Illinois,Chicago,THOMPSON woven sport pants,27.1,1,27.1,35.72%,9.68,In-store
West Gear,H&M,3764522,25/1/2021,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,3,152.49,30.65%,46.73,Online
Foot Locker,H&M,5776221,26/1/2021,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,27.1,1,27.1,40.96%,11.1,In-store
Foot Locker,H&M,4125302,27/1/2021,West,California,Los Angeles,THOMPSON woven sport pants,24.39,1,24.39,40.41%,9.86,Outlet
Walmart,H&M,7454934,28/1/2021,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,30.29%,15.4,Online
Walmart,H&M,7778669,29/1/2021,South,Texas,Houston,THOMPSON woven sport pants,50.83,1,50.83,29.01%,14.75,In-store
